Welcome to SHARC!

         41793450 function calls (41758184 primitive calls) in 87.491 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1668/1    0.049    0.000   87.496   87.496 {built-in method builtins.exec}
        1    0.000    0.000   87.496   87.496 main_cli.py:1(<module>)
        1    0.000    0.000   86.190   86.190 main_cli.py:18(main)
        1    0.000    0.000   86.190   86.190 view_cli.py:24(initialize)
        1    0.000    0.000   86.190   86.190 controller.py:30(action)
        1    0.000    0.000   86.190   86.190 thread_simulation.py:48(run)
       10    0.000    0.000   85.801    8.580 model.py:98(snapshot)
       10    0.003    0.000   85.800    8.580 simulation_downlink.py:28(snapshot)
       10    0.013    0.001   73.912    7.391 simulation.py:349(calculate_intra_imt_coupling_loss)
       40    0.223    0.006   73.839    1.846 simulation.py:502(calculate_gains)
     7980    2.244    0.000   71.296    0.009 antenna_beamforming_imt.py:123(calculate_gain)
  2131344    8.298    0.000   68.313    0.000 antenna_beamforming_imt.py:276(_beam_gain)
  2131344   35.522    0.000   37.805    0.000 antenna_beamforming_imt.py:221(_super_position_vector)
  2131344    6.508    0.000   11.828    0.000 antenna_element_imt_const.py:33(element_pattern)
  2134004    1.914    0.000    9.738    0.000 fromnumeric.py:2177(sum)
       10    8.759    0.876    8.759    0.876 simulation_downlink.py:167(calculate_sinr)
  2144680    2.572    0.000    7.410    0.000 fromnumeric.py:71(_wrapreduction)
  2168850    3.767    0.000    4.883    0.000 numeric.py:136(ones)
  2144680    4.430    0.000    4.430    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      152    0.012    0.000    2.365    0.016 __init__.py:1(<module>)
  4278717    2.295    0.000    2.295    0.000 {built-in method numpy.arange}
    10640    1.045    0.000    1.427    0.000 antenna_s1528.py:87(calculate_gain)
       10    0.130    0.013    1.351    0.135 simulation.py:428(select_ue)
   1570/6    0.009    0.000    1.306    0.218 <frozen importlib._bootstrap>:1349(_find_and_load)
   1542/6    0.006    0.000    1.306    0.218 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
  3480/13    0.004    0.000    1.305    0.100 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   1419/8    0.004    0.000    1.304    0.163 <frozen importlib._bootstrap>:911(_load_unlocked)
   1212/8    0.003    0.000    1.304    0.163 <frozen importlib._bootstrap_external>:989(exec_module)
        1    0.000    0.000    1.261    1.261 controller.py:1(<module>)
        1    0.000    0.000    1.260    1.260 model.py:1(<module>)
        1    0.000    0.000    1.259    1.259 simulation_downlink.py:1(<module>)
    15960    0.478    0.000    1.174    0.000 antenna_beamforming_imt.py:316(to_local_coord)
        1    0.000    0.000    1.106    1.106 simulation.py:1(<module>)
      120    0.982    0.008    0.982    0.008 station_manager.py:111(get_3d_distance_to)
  696/130    0.001    0.000    0.961    0.007 {built-in method builtins.__import__}
  2169934    0.914    0.000    0.914    0.000 {built-in method numpy.empty}
       90    0.238    0.003    0.899    0.010 station_manager.py:234(get_pointing_vector_to)
12175/11301    0.011    0.000    0.828    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       10    0.031    0.003    0.813    0.081 simulation_downlink.py:353(calculate_external_interference)
    30/20    0.005    0.000    0.810    0.040 dispatcher.py:431(__call__)
       10    0.002    0.000    0.809    0.081 propagation_uma.py:24(get_loss)
       10    0.000    0.000    0.750    0.075 simulation.py:243(calculate_coupling_loss_system_imt)
     7980    0.057    0.000    0.715    0.000 antenna_beamforming_imt.py:97(add_beam)
       40    0.150    0.004    0.606    0.015 station_manager.py:266(get_off_axis_angle)
2793902/2793889    0.540    0.000    0.544    0.000 {built-in method builtins.isinstance}
       10    0.000    0.000    0.499    0.050 station_factory.py:176(generate_imt_ue)
       10    0.069    0.007    0.499    0.050 station_factory.py:200(generate_imt_ue_outdoor)
       10    0.035    0.003    0.482    0.048 propagation_uma.py:79(get_loss)
    10640    0.012    0.000    0.459    0.000 antenna_factory.py:25(create_antenna)
  2136689    0.432    0.000    0.432    0.000 {built-in method builtins.abs}
        1    0.000    0.000    0.412    0.412 propagation_factory.py:1(<module>)
  2146176    0.409    0.000    0.409    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.406    0.406 propagation_p619.py:1(<module>)
    56635    0.110    0.000    0.397    0.000 defmatrix.py:116(__new__)
        1    0.000    0.000    0.389    0.389 model.py:40(initialize)
2705/2575    0.032    0.000    0.384    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.381    0.381 parameters.py:61(read_params)
       12    0.000    0.000    0.379    0.032 parameters_base.py:99(load_parameters_from_file)
       12    0.000    0.000    0.378    0.031 __init__.py:117(safe_load)
       12    0.000    0.000    0.378    0.031 __init__.py:74(load)
       12    0.000    0.000    0.377    0.031 constructor.py:47(get_single_data)
       12    0.000    0.000    0.367    0.031 composer.py:29(get_single_node)
       12    0.000    0.000    0.366    0.031 composer.py:50(compose_document)
  2952/12    0.005    0.000    0.366    0.031 composer.py:63(compose_node)
