# Results collected after 220 snapshots.
x,y
0,-162.5438742103558
1,-171.69443764977436
2,-145.87028968701102
3,-166.6958055691619
4,-148.04853362956365
5,-158.87891895603784
6,-171.1469799129429
7,-163.40652370625568
8,-166.28912367423638
9,-133.9199128857966
10,-161.85056915750036
11,-146.34897851254559
12,-143.07881418208504
13,-146.22299425798138
14,-155.44288992167876
15,-151.06356263928205
16,-156.67032704300823
17,-128.27131867500128
18,-160.29903105985207
19,-141.2948692677863
20,-141.39830698798664
21,-152.8498769001436
22,-161.70228204945235
23,-158.5550029228405
24,-122.0741105026448
25,-161.49712094895662
26,-144.93018343098726
27,-137.08151300869662
28,-135.95283683929057
29,-157.57108972219183
30,-143.9729916293119
31,-169.36833512379476
32,-164.66345350083415
33,-175.4293130650453
34,-149.69906528629525
35,-169.92380404626786
36,-130.8497527286757
37,-177.10402771616899
38,-164.7523042652989
39,-144.49058491961924
40,-167.11069055357652
41,-143.73629855089723
42,-167.0546944352545
43,-147.79055723835765
44,-155.17541511385218
45,-141.41493677642828
46,-143.139376014525
47,-159.62863830887898
48,-138.3496995264868
49,-158.5808045924841
50,-181.42450407189037
51,-179.19056122979887
52,-169.22354842409865
53,-157.16757747698543
54,-134.03747507690653
55,-138.5435056898749
56,-147.85665912704803
57,-166.42780241510172
58,-160.2801627143578
59,-164.0673281493706
60,-148.09608814036864
61,-150.37194499218037
62,-167.042651284293
63,-149.81805799884114
64,-160.73210307353722
65,-150.25686742575832
66,-173.3513408303962
67,-166.96144210834004
68,-155.34806151578493
69,-163.1862590769472
70,-163.32081758630102
71,-166.1039081390985
72,-150.2622023163875
73,-176.06959379690133
74,-162.51603634389085
75,-176.51400852180032
76,-155.20383749658603
77,-146.17515692549884
78,-158.08556883366396
79,-142.24564080905196
80,-167.9834140354753
81,-145.7327975106916
82,-162.37188597606323
83,-176.17687975168317
84,-146.55756167853778
85,-172.9469105702934
86,-149.94870889150155
87,-154.04597274898097
88,-140.38244614107745
89,-160.52862865227732
90,-161.062105658628
91,-168.44993069801453
92,-147.8683272505366
93,-152.14916791082473
94,-146.29995822173365
95,-147.11659229277464
96,-146.25058251088623
97,-171.651820374822
98,-147.6050163257188
99,-157.7653905547568
100,-165.27275466167444
101,-174.83510117529838
102,-154.56045752117544
103,-151.58284939781052
104,-135.99708707620923
105,-151.63325059411315
106,-157.78187316584655
107,-165.99051133076117
108,-133.8472510485015
109,-160.3053590090069
110,-162.11386930359023
111,-164.94282928778463
112,-161.6440258944199
113,-147.49135090212653
114,-147.10350564296076
115,-168.16162888809268
116,-146.72840874094794
117,-167.71069442101654
118,-157.94568195805462
119,-168.61486587614203
120,-163.83687022999024
121,-158.04375546186319
122,-147.120239714006
123,-138.7395811736525
124,-165.34657408895006
125,-157.70815507371296
126,-133.34471014987037
127,-164.20207088292335
128,-153.22328746981546
129,-147.83186995542863
130,-157.40556672431526
131,-151.3571651778293
132,-170.04204796122966
133,-167.25389851659426
134,-163.91077475425624
135,-146.43897816779457
136,-175.680645839116
137,-169.67739865444426
138,-159.83398894010492
139,-168.0692739912474
140,-167.46632745026145
141,-153.24274494601363
142,-151.441197031188
143,-176.23864221873473
144,-156.0176894014259
145,-150.02943606704653
146,-162.55789510922946
147,-168.3113059186027
148,-176.8714511391702
149,-166.16516430449818
150,-149.7032646434287
151,-172.33137061913132
152,-147.7336914687231
153,-167.57032609504986
154,-137.45350229401896
155,-159.75788753679842
156,-160.92499494998538
157,-136.30204285795284
158,-159.4416171710509
159,-142.47772138678013
160,-167.29060284295085
161,-134.34438277863111
162,-157.86460893598255
163,-144.47704572042343
164,-153.29284052390793
165,-177.03700553924224
166,-153.1098161337043
167,-167.38963517954986
168,-167.61791262661583
169,-138.378470568256
170,-153.95101714348988
171,-175.1691916155216
172,-161.50048017593642
173,-144.45501330360324
174,-180.15502891337937
175,-141.35148415565328
176,-147.67106875151785
177,-144.78145853303985
178,-170.55809915538057
179,-175.34684770287836
180,-152.79663136455727
181,-185.30834696263182
182,-176.9504050773336
183,-162.44496290862352
184,-155.2212235900848
185,-138.52562373855014
186,-151.85558079423666
187,-148.129632291228
188,-148.81944930240437
189,-172.588576969073
190,-174.2044694258153
191,-149.69395214728166
192,-160.46104005800464
193,-151.69978622158126
194,-155.4903600810555
195,-164.8652817157287
196,-142.82864218851816
197,-137.6453287887583
198,-122.0934307957655
199,-142.10175134416153
200,-168.58213664223584
201,-154.78229487844104
202,-161.61271099985387
203,-172.7902549991454
204,-162.03457380282742
205,-186.34379829170697
206,-140.53060773074046
207,-176.24965963304575
208,-157.63033008174713
209,-133.37650064333027
210,-156.8864522709068
211,-140.0793194179984
212,-150.1164501202993
213,-161.4810861151561
214,-173.08697893306547
215,-165.92893933169668
216,-168.95681113234636
217,-160.55594930520527
218,-168.2650620884925
219,-148.30013267083262
